Biblioteca 'Biblioteca Universitara Suceava' initiata.
Autor nou adaugat: Frank Herbert
Autor nou adaugat: J.R.R. Tolkien
Autor nou adaugat: George Orwell
Autor nou adaugat: Aldous Huxley
Autor nou adaugat: Isaac Asimov
Autor nou adaugat: Arthur C. Clarke
Autor nou adaugat: Philip K. Dick
Autor nou adaugat: Ursula K. Le Guin
Autor nou adaugat: Ray Bradbury
Autor nou adaugat: William Gibson
Autor nou adaugat: Neil Gaiman
Autor nou adaugat: Terry Pratchett
Autor nou adaugat: Douglas Adams
Autor nou adaugat: Stephen King
Autor nou adaugat: George R.R. Martin
Autor nou adaugat: Brandon Sanderson
Autor nou adaugat: Patrick Rothfuss
Autor nou adaugat: Joe Abercrombie
Autor nou adaugat: Robert Jordan
Autor nou adaugat: Victor Hugo
Autor nou adaugat: Alexandre Dumas
Autor nou adaugat: Jules Verne
Autor nou adaugat: Albert Camus
Autor nou adaugat: Franz Kafka
Autor nou adaugat: Hermann Hesse
Autor nou adaugat: Erich Maria Remarque
Autor nou adaugat: Stefan Zweig
Autor nou adaugat: Fyodor Dostoevsky
Autor nou adaugat: Leo Tolstoy
Autor nou adaugat: Ernest Hemingway
Autor nou adaugat: Umberto Eco
Autor nou adaugat: Haruki Murakami
Autor nou adaugat: Gabriel Garcia Marquez
Autor nou adaugat: Paulo Coelho
Autor nou adaugat: Charles Dickens
Autor nou adaugat: Jane Austen
Autor nou adaugat: Oscar Wilde
Autor nou adaugat: John Grisham
Autor nou adaugat: Agatha Christie
Autor nou adaugat: Dan Brown
Autor nou adaugat: Stieg Larsson
Autor nou adaugat: Lee Child
Autor nou adaugat: Mihai Eminescu
Autor nou adaugat: Ion Creanga
Autor nou adaugat: Ion Luca Caragiale
Autor nou adaugat: Liviu Rebreanu
Autor nou adaugat: Mihail Sadoveanu
Autor nou adaugat: Marin Preda
Autor nou adaugat: Mircea Cartarescu
Autor nou adaugat: Lucian Blaga
Autor nou adaugat: Mircea Eliade
Autor nou adaugat: Camil Petrescu
Autor nou adaugat: Nicolae Steinhardt
Autor nou adaugat: Orson Scott Card
Autor nou adaugat: Andy Weir
Autor nou adaugat: Dan Simmons
Autor nou adaugat: Neal Stephenson
Autor nou adaugat: Gillian Flynn
Autor nou adaugat: Alex Michaelides
Autor nou adaugat: Antoine de Saint-Exupery
Autor nou adaugat: Diana Gabaldon
Autor nou adaugat: Stephenie Meyer
Autor nou adaugat: Suzanne Collins
Autor nou adaugat: Rick Riordan
Autor nou adaugat: Jodi Picoult
Autor nou adaugat: Markus Zusak
Autor nou adaugat: Khaled Hosseini
Autor nou adaugat: Dennis Lehane
Autor nou adaugat: Cormac McCarthy
Autor nou adaugat: Margaret Atwood
Autor nou adaugat: Kazuo Ishiguro
Autor nou adaugat: John le Carre
Autor nou adaugat: Ken Follett
Autor nou adaugat: Bernard Cornwell
Autor nou adaugat: Jasper Fforde
Autor nou adaugat: Annie Proulx
Autor nou adaugat: Paul Auster
Autor nou adaugat: Orhan Pamuk
Autor nou adaugat: Gunter Grass
Autor nou adaugat: Alberto Moravia
Autor nou adaugat: Italo Calvino
Autor nou adaugat: Charles Bukowski
Autor nou adaugat: Jack Kerouac
Autor nou adaugat: J.D. Salinger
Autor nou adaugat: F. Scott Fitzgerald
Autor nou adaugat: William Faulkner
Autor nou adaugat: John Steinbeck
Autor nou adaugat: Bram Stoker
Autor nou adaugat: Mary Shelley
Autor nou adaugat: H.P. Lovecraft
Autor nou adaugat: Shirley Jackson
Autor nou adaugat: Lionel Shriver
Autor nou adaugat: B.A. Paris
Autor nou adaugat: Clive Barker
Autor nou adaugat: Harper Lee
Autor nou adaugat: Ernest Cline
Autor nou adaugat: Martha Wells
Autor nou adaugat: James S.A. Corey
Autor nou adaugat: John Scalzi
Autor nou adaugat: Becky Chambers
Autor nou adaugat: Jeff VanderMeer
Autor nou adaugat: Charlotte Bronte
Autor nou adaugat: Emily Bronte
Autor nou adaugat: Daphne du Maurier
Autor nou adaugat: Patrick Suskind
Autor nou adaugat: Laura Esquivel
Autor nou adaugat: Isabel Allende
Autor nou adaugat: Joseph Heller
Autor nou adaugat: Kurt Vonnegut
Autor nou adaugat: Claudiu Tataru
Autor nou adaugat: Matei Calinescu
Autor nou adaugat: Barbu Eugen
Autor nou adaugat: Robert C. Martin
Autor nou adaugat: Erich Gamma
Autor nou adaugat: Martin Fowler
Autor nou adaugat: Donald Knuth
Autor nou adaugat: Bjarne Stroustrup
Autor nou adaugat: Brian Kernighan
Autor nou adaugat: Andrew Tanenbaum
Autor nou adaugat: Thomas Cormen
Autor nou adaugat: Scott Meyers
Autor nou adaugat: Andrew Hunt
Autor nou adaugat: Mark Lutz
Autor nou adaugat: Eric Evans
Autor nou adaugat: Stephen Prata
Autor nou adaugat: Anthony Williams
Autor nou adaugat: Andrei Alexandrescu
Autor nou adaugat: Ivan Cukic
Autor nou adaugat: David Vandevoorde
Autor nou adaugat: Michael Dawson
Autor nou adaugat: Luciano Ramalho
Autor nou adaugat: Al Sweigart
Autor nou adaugat: David Beazley
Autor nou adaugat: Charles Severance
Autor nou adaugat: Dan Bader
Autor nou adaugat: Paul Barry
Autor nou adaugat: Sebastian Raschka
Autor nou adaugat: Steven Skiena
Autor nou adaugat: Gayle McDowell
Autor nou adaugat: Steven Halim
Autor nou adaugat: Joshua Bloch
Autor nou adaugat: Kathy Sierra
Autor nou adaugat: Herbert Schildt
Autor nou adaugat: Craig Walls
Autor nou adaugat: Aurelien Geron
Autor nou adaugat: Ian Goodfellow
Autor nou adaugat: Christopher Bishop
Autor nou adaugat: Richard Sutton
Autor nou adaugat: Wes McKinney
Autor nou adaugat: Joel Grus
Autor nou adaugat: Steven Bird
Autor nou adaugat: Daniel Jurafsky
Autor nou adaugat: Richard Szeliski
Autor nou adaugat: Thushan Madhavan
Autor nou adaugat: Steve McConnell
Autor nou adaugat: Eric Freeman
Autor nou adaugat: Kent Beck
Autor nou adaugat: W. Richard Stevens
Autor nou adaugat: William Shotts
Autor nou adaugat: Robert Love
Autor nou adaugat: Sam Newman
Autor nou adaugat: Marko Luksa
Autor nou adaugat: Nigel Poulton
Autor nou adaugat: Betsy Beyer
Autor nou adaugat: Gene Kim
Autor nou adaugat: Scott Chacon
Autor nou adaugat: Andreas Wittig
Autor nou adaugat: Martin Kleppmann
Autor nou adaugat: Abraham Silberschatz
Autor nou adaugat: Baron Schwartz
Autor nou adaugat: Kristina Chodorow
Autor nou adaugat: Jon Erickson
Autor nou adaugat: Bruce Schneier
Autor nou adaugat: Weidman Georgia
Autor nou adaugat: Dafydd Stuttard
Autor nou adaugat: Douglas Crockford
Autor nou adaugat: Marijn Haverbeke
Autor nou adaugat: Alex Banks
Autor nou adaugat: Jon Duckett
Autor nou adaugat: Mario Casciaro
Autor nou adaugat: Yakov Fain
Autor nou adaugat: Erik Hanchett
Autor nou adaugat: Jeremy Wilken
Autor nou adaugat: Jason Gregory
Autor nou adaugat: Tomas Akenine-Moller
Autor nou adaugat: Simon Monk
Autor nou adaugat: Jim Blandy
Autor nou adaugat: Steve Klabnik
Autor nou adaugat: Alan Donovan
Autor nou adaugat: Charles Calvert
Autor nou adaugat: Fred Brooks
Autor nou adaugat: John Sonmez
Autor nou adaugat: Camille Fournier
Autor nou adaugat: Will Larson
Autor nou adaugat: Alex Xu
Autor nou adaugat: John Ousterhout
Autor nou adaugat: David Patterson
Autor nou adaugat: David Harris
Autor nou adaugat: Harold Abelson
Autor nou adaugat: Gwen Shapira
Autor nou adaugat: Bill Chambers
Autor nou adaugat: Tom White
Autor nou adaugat: Matthew Hinman
Autor nou adaugat: Elecia White
Autor nou adaugat: Matt Bishop
Autor nou adaugat: Moritz Wulfken
Autor nou adaugat: Valentina Ozturk
Autor nou adaugat: David Foster
Autor nou adaugat: Noah Gift
Autor nou adaugat: Matt Butcher
Autor nou adaugat: Jack Hidary
Autor nou adaugat: Daniel Drescher
Autor nou adaugat: Andreas Antonopoulos
Autor nou adaugat: Joe Conway
Autor nou adaugat: Bill Hardy
Autor nou adaugat: Eric Windmill
Autor nou adaugat: Chris Richardson
Autor nou adaugat: Samer Buna
Autor nou adaugat: Mark Masse
Autor nou adaugat: Autori Colectiv
Autor nou adaugat: J.K. Rowling
Autor nou adaugat: Roald Dahl
Autor nou adaugat: C.S. Lewis
Autor nou adaugat: Hans Christian Andersen
Autor nou adaugat: Jacob Grimm
Autor nou adaugat: Petre Ispirescu
Autor nou adaugat: A.A. Milne
Autor nou adaugat: Astrid Lindgren
Autor nou adaugat: Rudyard Kipling
Autor nou adaugat: Lewis Carroll
Autor nou adaugat: J.M. Barrie
Autor nou adaugat: Carlo Collodi
Autor nou adaugat: Johanna Spyri
